年月日,曜日,平均気温(℃),最高気温(℃),最低気温(℃),エリア
2026年3月9日,月,17.7,20.7,15.2,那覇
2026年3月10日,火,17.4,19.9,15.1,那覇
2026年3月11日,水,18.1,22.6,13.4,那覇
2026年3月12日,木,17.2,21.6,14.4,那覇
2026年3月13日,金,16.9,19.5,13,那覇
2026年3月14日,土,17.1,19.4,16,那覇
2026年3月15日,日,18.3,21.4,15.2,那覇
2026年3月16日,月,18.3,21.9,14.8,那覇
2026年3月17日,火,18.8,23,14.4,那覇
2026年3月18日,水,20.2,24,16.2,那覇
2026年3月19日,木,20.2,23.2,18.9,那覇
2026年3月20日,金,20,22.6,18.7,那覇
2026年3月21日,土,20.9,24.3,18.7,那覇
2026年3月22日,日,22.3,26.1,19.1,那覇
2026年3月23日,月,21.9,24.1,20.2,那覇
2026年3月24日,火,22.2,24.8,20.8,那覇
2026年3月25日,水,21.3,23.6,19.7,那覇
2026年3月26日,木,20.5,22.9,18.9,那覇
2026年3月27日,金,20.7,23.4,19.1,那覇
2026年3月28日,土,21.6,25.5,19.3,那覇
2026年3月29日,日,21.7,24.5,19.4,那覇
2026年3月30日,月,23.3,25.7,21.4,那覇
2026年3月31日,火,22.6,26.1,19.3,那覇
2026年4月1日,水,22.4,25.1,20.4,那覇
2026年4月2日,木,20.7,23.3,19,那覇
2026年4月3日,金,21,24.6,17.3,那覇
2026年4月4日,土,22.5,26.2,20.1,那覇
2026年4月5日,日,21.7,25.7,19.1,那覇
2026年4月6日,月,22.8,24.5,21.1,那覇
2026年4月7日,火,22.3,24.1,20.2,那覇
2026年4月8日,水,21.3,24.4,19.5,那覇
2026年4月9日,木,22.9,25,20.3,那覇
2026年4月10日,金,24.8,27.3,23.4,那覇
2026年4月11日,土,25.3,28.4,23.5,那覇
2026年4月12日,日,25.2,28.1,23.5,那覇
2026年4月13日,月,25.4,28,24.1,那覇
2026年4月14日,火,25.3,27.9,23.9,那覇
2026年4月15日,水,25,27.8,23.7,那覇
2026年4月16日,木,24.1,26.8,22.8,那覇
2026年4月17日,金,23.9,27.3,22.3,那覇
2026年4月18日,土,24.2,26.6,22.7,那覇
2026年4月19日,日,23.5,25.6,21.5,那覇
2026年4月20日,月,22.9,25.8,20.1,那覇
2026年4月21日,火,23.5,26.3,21.6,那覇
2026年4月22日,水,23.8,26.9,21.2,那覇
2026年4月23日,木,23.3,24.7,21.1,那覇
2026年4月24日,金,22.4,23.9,21.8,那覇
2026年4月25日,土,21.4,23.3,20.2,那覇
2026年4月26日,日,20.6,23.3,18.8,那覇
2026年4月27日,月,20.8,24.1,16,那覇
2026年4月28日,火,21.9,25.9,17.8,那覇
2026年4月29日,水,23.3,26.8,19.5,那覇
2026年4月30日,木,24,27.3,21,那覇
2026年5月1日,金,20.8,22.5,18.8,那覇
2026年5月2日,土,21.8,25.7,17.5,那覇
2026年5月3日,日,25,28.4,22.2,那覇
2026年5月4日,月,19.9,23.1,17.5,那覇
2026年5月5日,火,18,20.5,15.4,那覇
2026年5月6日,水,21.1,22.3,19.1,那覇
2026年5月7日,木,23.4,28.6,18.1,那覇
2026年5月8日,金,23.4,28.9,19.8,那覇
2026年5月9日,土,19,20.6,17.5,那覇
2026年5月10日,日,21.3,23.7,19.6,那覇
2026年5月11日,月,22.1,22.6,21.7,那覇
2026年5月12日,火,22.5,25.3,21.5,那覇
2026年5月13日,水,24,28.3,21.9,那覇
2026年5月14日,木,23.6,26,21.8,那覇
2026年5月15日,金,23.9,26.4,22.2,那覇
2026年5月16日,土,23.8,26.8,21.7,那覇
2026年5月17日,日,23.8,26.2,22.2,那覇
2026年5月18日,月,23.8,26.1,22.5,那覇
2026年5月19日,火,24.9,29.1,22.7,那覇
2026年5月20日,水,25.5,28.5,23.4,那覇
2026年5月21日,木,25.9,28.7,23.9,那覇
2026年5月22日,金,25.5,26.8,23.9,那覇
2026年5月23日,土,25.7,28.1,23.9,那覇
2026年5月24日,日,26.7,29.8,24.3,那覇
2026年5月25日,月,27.3,29.1,26.2,那覇
2026年5月26日,火,27.7,30.2,26.3,那覇
2026年5月27日,水,27.7,30.1,26.6,那覇
2026年5月28日,木,27.3,29,26.4,那覇
2026年5月29日,金,26.3,27.8,24.4,那覇
2026年5月30日,土,25.5,28.3,23.4,那覇
2026年5月31日,日,26.4,28.5,24.5,那覇
2024年1月1日,月,-6,-3.7,-7.6,札幌
2024年1月2日,火,-0.2,3.5,-7.3,札幌
2024年1月3日,水,-0.4,1.4,-1.9,札幌
2024年1月4日,木,-1.2,2.6,-4.6,札幌
2024年1月5日,金,1.3,5.4,-3.2,札幌
2024年1月6日,土,0.6,4.2,-2,札幌
2024年1月7日,日,-0.9,0.3,-2,札幌
2024年1月8日,月,-3.3,-1.5,-7,札幌
2024年1月9日,火,-2.2,0.3,-6.2,札幌
2024年1月10日,水,-5.2,-3,-6.8,札幌
2024年1月11日,木,-2.9,1.9,-8.7,札幌
2024年1月12日,金,0.1,2.8,-3,札幌
2024年1月13日,土,-3,-1.4,-4.3,札幌
2024年1月14日,日,-1.9,1.4,-6.6,札幌
2024年1月15日,月,-5.3,-0.9,-7.7,札幌
2024年1月16日,火,-5.7,-2.3,-8,札幌
2024年1月17日,水,-1.2,2.9,-5.7,札幌
2024年1月18日,木,-0.5,2.9,-4.1,札幌
2024年1月19日,金,-3.7,-0.3,-6.7,札幌
2024年1月20日,土,-6.2,-2.6,-9.3,札幌
2024年1月21日,日,-6.6,-4.8,-10.6,札幌
2024年1月22日,月,-1.7,1,-5.6,札幌
2024年1月23日,火,0.8,4.2,-1.5,札幌
2024年1月24日,水,-1.7,0.1,-5,札幌
2024年1月25日,木,-0.6,1.2,-2.8,札幌
2024年1月26日,金,0.7,2.1,-0.8,札幌
2024年1月27日,土,0.8,2.9,-1.2,札幌
2024年1月28日,日,1,4,-1.7,札幌
2024年1月29日,月,1,3.1,-1.3,札幌
2024年1月30日,火,-0.2,3,-4.1,札幌
2024年1月31日,水,-1.6,2.1,-5.9,札幌
2024年2月1日,木,-4.8,0.5,-7.1,札幌
2024年2月2日,金,-5.2,-2.8,-7.5,札幌
2024年2月3日,土,-5.8,-1.8,-9,札幌
2024年2月4日,日,-2.4,1.5,-4.5,札幌
2024年2月5日,月,-4.6,-1.9,-7.6,札幌
2024年2月6日,火,-5.4,-2.7,-7,札幌
2024年2月7日,水,-2.9,1.2,-7,札幌
2024年2月8日,木,-1.6,1.5,-5.5,札幌
2024年2月9日,金,-1.6,0.8,-3.5,札幌
2024年2月10日,土,-1.3,1.6,-4.1,札幌
2024年2月11日,日,-2.1,0.1,-4.8,札幌
2024年2月12日,月,0.1,3.4,-4.7,札幌
2024年2月13日,火,5.4,10.1,-1.9,札幌
2024年2月14日,水,5.2,10.8,1.2,札幌
2024年2月15日,木,1.2,3.5,-1.9,札幌
2024年2月16日,金,-2.5,0.1,-5.6,札幌
2024年2月17日,土,-1.4,2.7,-6.8,札幌
2024年2月18日,日,2.7,6.2,-1.3,札幌
2024年2月19日,月,7.6,13.9,2.8,札幌
2024年2月20日,火,-1,6.4,-4.6,札幌
2024年2月21日,水,-3.9,-1.6,-5.1,札幌
2024年2月22日,木,-4.7,-3,-6.6,札幌
2024年2月23日,金,-5.7,-3.8,-7.8,札幌
2024年2月24日,土,-4.9,-2.8,-7.6,札幌
2024年2月25日,日,-3.3,-0.8,-6.4,札幌
2024年2月26日,月,-2.9,-1.3,-4.5,札幌
2024年2月27日,火,-1.4,1.9,-4,札幌
2024年2月28日,水,-3.9,-1.6,-7.7,札幌
2024年2月29日,木,-3.2,0.7,-7.3,札幌
2024年3月1日,金,-0.4,2.2,-3.7,札幌
2024年3月2日,土,-6,-0.5,-7.4,札幌
2024年3月3日,日,-3.4,-0.1,-8,札幌
2024年3月4日,月,-3.7,-0.6,-6.7,札幌
2024年3月5日,火,-2,1,-6,札幌
2024年3月6日,水,-2.4,1.9,-8.3,札幌
2024年3月7日,木,-2.7,0.1,-5.3,札幌
2024年3月8日,金,-2.8,1.3,-7.3,札幌
2024年3月9日,土,-2,2.1,-7.5,札幌
2024年3月10日,日,-1.7,0.7,-4.1,札幌
2024年3月11日,月,2.1,6.6,-3.2,札幌
2024年3月12日,火,2.6,5,0.1,札幌
2024年3月13日,水,-0.5,1,-2.1,札幌
2024年3月14日,木,0.9,4.9,-3.9,札幌
2024年3月15日,金,1.8,5.2,-1.1,札幌
2024年3月16日,土,2.7,6.2,-0.1,札幌
2024年3月17日,日,2,5.3,0,札幌
2024年3月18日,月,1.4,2.7,-0.3,札幌
2024年3月19日,火,-0.9,2.3,-3.1,札幌
2024年3月20日,水,-0.5,2.4,-4.9,札幌
2024年3月21日,木,0,2.2,-2.4,札幌
2024年3月22日,金,1.1,4.9,-2.5,札幌
2024年3月23日,土,2.3,6.5,-2.4,札幌
2024年3月24日,日,4.7,10.7,-1.7,札幌
2024年3月25日,月,3.6,6,0.2,札幌
2024年3月26日,火,2.4,6.3,-2,札幌
2024年3月27日,水,2.8,5.6,-0.3,札幌
2024年3月28日,木,4,8.9,-2.3,札幌
2024年3月29日,金,8.2,11.8,5.7,札幌
2024年3月30日,土,6.9,10.7,4.5,札幌
2024年3月31日,日,4.8,7.8,1.6,札幌
2024年4月1日,月,4.9,9,2.4,札幌
2024年4月2日,火,4.6,8.3,1,札幌
2024年4月3日,水,5.7,10.6,0.5,札幌
2024年4月4日,木,6,10.2,3.8,札幌
2024年4月5日,金,7.4,11.9,1.7,札幌
2024年4月6日,土,9.5,14.9,4.5,札幌
2024年4月7日,日,12.1,19.7,8,札幌
2024年4月8日,月,13.5,22,7.5,札幌
2024年4月9日,火,4.4,9.8,2.8,札幌
2024年4月10日,水,7.8,12.6,2.7,札幌
2024年4月11日,木,10.1,16.6,2.8,札幌
2024年4月12日,金,12.3,18.1,9.3,札幌
2024年4月13日,土,14.2,22.3,7.4,札幌
2024年4月14日,日,13.9,23,7.9,札幌
2024年4月15日,月,16.3,26.1,8.9,札幌
2024年4月16日,火,15.9,20.5,12.1,札幌
2024年4月17日,水,15,19.4,12.3,札幌
2024年4月18日,木,10.9,12.7,10.3,札幌
2024年4月19日,金,8.4,10.8,6.1,札幌
2024年4月20日,土,6.4,8.4,5.6,札幌
2024年4月21日,日,7.3,11.1,5.3,札幌
2024年4月22日,月,7.8,11,5.7,札幌
2024年4月23日,火,10.3,16.5,5.1,札幌
2024年4月24日,水,10.1,14,7,札幌
2024年4月25日,木,11.3,13.6,9.1,札幌
2024年4月26日,金,15.6,24,8.5,札幌
2024年4月27日,土,18.2,27.9,11.4,札幌
2024年4月28日,日,12,15.6,9.4,札幌
2024年4月29日,月,10.8,14.6,8.6,札幌
2024年4月30日,火,10.7,16.1,6.9,札幌
2024年5月1日,水,9.8,14.7,6.3,札幌
2024年5月2日,木,14.1,20.8,5.7,札幌
2024年5月3日,金,14.4,20.7,9.6,札幌
2024年5月4日,土,13.5,19.2,7.5,札幌
2024年5月5日,日,16.2,22,11.1,札幌
2024年5月6日,月,15.5,18.3,13.7,札幌
2024年5月7日,火,11.2,17.9,4.7,札幌
2024年5月8日,水,6.1,8.6,3.9,札幌
2024年5月9日,木,9.6,15.5,4.8,札幌
2024年5月10日,金,13.8,18.1,8.7,札幌
2024年5月11日,土,17.2,21.7,13.5,札幌
2024年5月12日,日,17.3,21.7,14.7,札幌
2024年5月13日,月,13.3,16.6,9,札幌
2024年5月14日,火,16.2,22.9,8,札幌
2024年5月15日,水,17.7,23.2,11.9,札幌
2024年5月16日,木,17.4,22.6,12.2,札幌
2024年5月17日,金,15.6,19.1,13.2,札幌
2024年5月18日,土,19.6,25.1,11.8,札幌
2024年5月19日,日,17.2,21.4,13.6,札幌
2024年5月20日,月,15.3,23.2,11.5,札幌
2024年5月21日,火,11.3,14.5,8.7,札幌
2024年5月22日,水,16.1,24.1,7,札幌
2024年5月23日,木,17.3,23.9,13.9,札幌
2024年5月24日,金,12.1,15.3,8.6,札幌
2024年5月25日,土,11,15.3,8,札幌
2024年5月26日,日,15.5,22.3,9.2,札幌
2024年5月27日,月,15.9,19.2,12.3,札幌
2024年5月28日,火,14,19.2,10.1,札幌
2024年5月29日,水,10.6,12.9,9.7,札幌
2024年5月30日,木,12.4,16,9.6,札幌
2024年5月31日,金,13.2,17.5,11.1,札幌
2024年6月1日,土,15.7,21.5,11.5,札幌
2024年6月2日,日,15.4,20.4,10.5,札幌
2024年6月3日,月,15.5,19.9,12.2,札幌
2024年6月4日,火,15.1,22.3,11.9,札幌
2024年6月5日,水,12.5,13.5,11.8,札幌
2024年6月6日,木,12.9,15.1,10.7,札幌
2024年6月7日,金,17.6,24.3,12.4,札幌
2024年6月8日,土,20.9,27,14.8,札幌
2024年6月9日,日,18.4,20.2,16.6,札幌
2024年6月10日,月,20.2,26.1,16.3,札幌
2024年6月11日,火,20.2,25,16,札幌
2024年6月12日,水,21.8,28.4,15.8,札幌
2024年6月13日,木,19.4,23.4,16.3,札幌
2024年6月14日,金,17,22.8,15.5,札幌
2024年6月15日,土,20.8,25.5,15.5,札幌
2024年6月16日,日,20.4,22.4,18.6,札幌
2024年6月17日,月,22.6,27.5,17,札幌
2024年6月18日,火,21,25,15.9,札幌
2024年6月19日,水,19.1,23.8,15,札幌
2024年6月20日,木,19.3,24.1,16,札幌
2024年6月21日,金,21,26.6,17.5,札幌
2024年6月22日,土,18.7,26.7,15.9,札幌
2024年6月23日,日,19.6,25,15.7,札幌
2024年6月24日,月,20.1,22.4,18.8,札幌
2024年6月25日,火,17.4,22.8,13.5,札幌
2024年6月26日,水,15,18.8,12.9,札幌
2024年6月27日,木,19.1,25.7,11.5,札幌
2024年6月28日,金,23.9,29.1,18.9,札幌
2024年6月29日,土,24.5,31.3,18.7,札幌
2024年6月30日,日,23.9,30.9,18.6,札幌
2024年7月1日,月,18.2,23.8,15,札幌
2024年7月2日,火,19,24.2,13.9,札幌
2024年7月3日,水,21.8,29.6,15.2,札幌
2024年7月4日,木,22.4,28.9,18.2,札幌
2024年7月5日,金,23.6,30.5,19.5,札幌
2024年7月6日,土,22.4,24.9,20.7,札幌
2024年7月7日,日,23,25,21.9,札幌
2024年7月8日,月,20.1,22.7,18.9,札幌
2024年7月9日,火,21.2,25.3,18.6,札幌
2024年7月10日,水,22.5,27.2,19,札幌
2024年7月11日,木,21.6,25.9,18.1,札幌
2024年7月12日,金,22.4,27.6,19.5,札幌
2024年7月13日,土,20.8,24.5,18.7,札幌
2024年7月14日,日,22.9,29.5,18.5,札幌
2024年7月15日,月,24.1,29.3,20.3,札幌
2024年7月16日,火,24.8,30.1,21,札幌
2024年7月17日,水,26,31.4,21.4,札幌
2024年7月18日,木,26.2,33.4,21.2,札幌
2024年7月19日,金,24.1,25.3,22.9,札幌
2024年7月20日,土,27,33,23.6,札幌
2024年7月21日,日,27.9,34.7,22.3,札幌
2024年7月22日,月,28.8,34.7,23.9,札幌
2024年7月23日,火,28.1,31.4,25.6,札幌
2024年7月24日,水,23.4,27.8,20.2,札幌
2024年7月25日,木,22.4,26.8,19,札幌
2024年7月26日,金,23.9,28.9,20.6,札幌
2024年7月27日,土,22.9,25.7,20.7,札幌
2024年7月28日,日,23.1,27.4,20.7,札幌
2024年7月29日,月,22.9,24.1,21.9,札幌
2024年7月30日,火,23.7,28.2,21.3,札幌
2024年7月31日,水,22.6,25.7,20.9,札幌
2024年8月1日,木,23.5,28.4,20.5,札幌
2024年8月2日,金,26.1,30,23.2,札幌
2024年8月3日,土,25.7,29.5,22.9,札幌
2024年8月4日,日,21.3,22.9,20.4,札幌
2024年8月5日,月,21.5,24.4,19.9,札幌
2024年8月6日,火,23.2,26.4,20.7,札幌
2024年8月7日,水,25.9,32,21.8,札幌
2024年8月8日,木,26,30.1,23.7,札幌
2024年8月9日,金,26.7,30.2,24.8,札幌
2024年8月10日,土,25.6,28.6,24.1,札幌
2024年8月11日,日,25.3,29.4,22.1,札幌
2024年8月12日,月,27.6,34.1,23.3,札幌
2024年8月13日,火,26,28.5,25,札幌
2024年8月14日,水,25.7,28.5,23.4,札幌
2024年8月15日,木,24,27.6,22.3,札幌
2024年8月16日,金,25.3,29.3,23.1,札幌
2024年8月17日,土,24.3,27.6,22.5,札幌
2024年8月18日,日,23,25.8,21.1,札幌
2024年8月19日,月,23.8,29.4,19.8,札幌
2024年8月20日,火,21.8,25.1,19.4,札幌
2024年8月21日,水,23.2,28.7,18.2,札幌
2024年8月22日,木,22.9,25.7,19.6,札幌
2024年8月23日,金,28,30.7,23.7,札幌
2024年8月24日,土,25.7,29,21.8,札幌
2024年8月25日,日,24.3,28.9,20.2,札幌
2024年8月26日,月,24.8,28.3,21.5,札幌
2024年8月27日,火,22.3,25.2,19.5,札幌
2024年8月28日,水,23.5,28.5,19.8,札幌
2024年8月29日,木,24.9,30.6,19.8,札幌
2024年8月30日,金,25.7,30.3,23.5,札幌
2024年8月31日,土,23.8,28,21.2,札幌
2024年9月1日,日,23.8,29,18.3,札幌
2024年9月2日,月,22.7,27,18.8,札幌
2024年9月3日,火,23,27.8,18.2,札幌
2024年9月4日,水,22.7,28.6,16.8,札幌
2024年9月5日,木,24.1,27.6,20.4,札幌
2024年9月6日,金,21.7,25.9,17.2,札幌
2024年9月7日,土,21.3,26.7,15.8,札幌
2024年9月8日,日,24.2,31.5,17.2,札幌
2024年9月9日,月,22.6,27.1,19.1,札幌
2024年9月10日,火,24.1,27.7,19.4,札幌
2024年9月11日,水,21.6,25.8,18.1,札幌
2024年9月12日,木,21.2,26.4,18,札幌
2024年9月13日,金,20.2,27.4,16.6,札幌
2024年9月14日,土,18.3,23.7,13.4,札幌
2024年9月15日,日,17.5,19.3,14.5,札幌
2024年9月16日,月,18.2,23.6,12,札幌
2024年9月17日,火,20.5,24.7,17.6,札幌
2024年9月18日,水,20.3,25,16.3,札幌
2024年9月19日,木,19.1,23.7,14,札幌
2024年9月20日,金,17.3,23,15.4,札幌
2024年9月21日,土,14.6,17.2,11.2,札幌
2024年9月22日,日,13.9,17.3,11.3,札幌
2024年9月23日,月,14.8,19.8,10,札幌
2024年9月24日,火,16.2,22.2,10.1,札幌
2024年9月25日,水,17.5,21,13.6,札幌
2024年9月26日,木,20.4,24.4,17.3,札幌
2024年9月27日,金,19.8,23.8,17.8,札幌
2024年9月28日,土,18.9,22.5,15.8,札幌
2024年9月29日,日,17.2,23,12.5,札幌
2024年9月30日,月,17.8,22.3,14.3,札幌
2024年10月1日,火,20.4,26.3,15.1,札幌
2024年10月2日,水,18.5,22,15,札幌
2024年10月3日,木,14.7,16.8,12.1,札幌
2024年10月4日,金,13.7,15.2,12,札幌
2024年10月5日,土,17.2,21.3,12.4,札幌
2024年10月6日,日,16.7,22.5,10.9,札幌
2024年10月7日,月,16.1,18.1,14.2,札幌
2024年10月8日,火,15.2,19.4,11.3,札幌
2024年10月9日,水,12.6,17.7,8.1,札幌
2024年10月10日,木,13,18.4,7.4,札幌
2024年10月11日,金,12.9,18.1,7.7,札幌
2024年10月12日,土,14.9,21.1,8.2,札幌
2024年10月13日,日,14.9,17.6,9.3,札幌
2024年10月14日,月,14.1,20.3,7.2,札幌
2024年10月15日,火,18.3,21.1,15,札幌
2024年10月16日,水,15,18.6,8.7,札幌
2024年10月17日,木,12.8,20.2,6.5,札幌
2024年10月18日,金,14.5,18.9,7.6,札幌
2024年10月19日,土,12.8,18.5,5.1,札幌
2024年10月20日,日,7.1,10.7,2.8,札幌
2024年10月21日,月,10.4,15.1,3.6,札幌
2024年10月22日,火,15.7,20.3,10.7,札幌
2024年10月23日,水,18.3,20.8,15.9,札幌
2024年10月24日,木,15.5,19.3,9.4,札幌
2024年10月25日,金,11.6,16.6,7.7,札幌
2024年10月26日,土,11.3,17.3,6.7,札幌
2024年10月27日,日,10.9,16.4,5.8,札幌
2024年10月28日,月,9.6,14.4,6.2,札幌
2024年10月29日,火,9,14.6,4.5,札幌
2024年10月30日,水,9.7,14.8,4,札幌
2024年10月31日,木,11.9,15.9,7.3,札幌
2024年11月1日,金,10.2,12.1,7.8,札幌
2024年11月2日,土,11.1,15.5,7.1,札幌
2024年11月3日,日,8.9,12.2,6.6,札幌
2024年11月4日,月,10.2,14.8,6,札幌
2024年11月5日,火,7,8.8,3.9,札幌
2024年11月6日,水,4.7,8.9,0.5,札幌
2024年11月7日,木,2.2,4.2,0.7,札幌
2024年11月8日,金,4.3,6.9,0.4,札幌
2024年11月9日,土,6,9.5,2.1,札幌
2024年11月10日,日,8.6,14.1,0.8,札幌
2024年11月11日,月,9.9,14.6,3.7,札幌
2024年11月12日,火,7,13.1,1.9,札幌
2024年11月13日,水,5.9,8.1,3,札幌
2024年11月14日,木,6.1,10.2,0.8,札幌
2024年11月15日,金,9.4,14.9,6.3,札幌
2024年11月16日,土,9.6,13.8,4,札幌
2024年11月17日,日,9.9,15.7,2.9,札幌
2024年11月18日,月,0.5,3.4,-2.9,札幌
2024年11月19日,火,0.1,3,-3,札幌
2024年11月20日,水,5.8,9.3,0.7,札幌
2024年11月21日,木,5.2,9.6,1.3,札幌
2024年11月22日,金,4.7,7.5,1.2,札幌
2024年11月23日,土,3.5,8,-0.7,札幌
2024年11月24日,日,1.8,3.2,-1.4,札幌
2024年11月25日,月,3.7,6.8,1.5,札幌
2024年11月26日,火,5,9.9,-0.9,札幌
2024年11月27日,水,10.5,13.4,6.6,札幌
2024年11月28日,木,5.4,8.8,2.4,札幌
2024年11月29日,金,1.4,4.6,-0.9,札幌
2024年11月30日,土,0.5,2.1,-1.2,札幌
2024年12月1日,日,2.4,5.5,-0.9,札幌
2024年12月2日,月,3.5,7.8,-1.9,札幌
2024年12月3日,火,4.1,8.3,-0.3,札幌
2024年12月4日,水,-0.2,3.7,-1.7,札幌
2024年12月5日,木,-0.5,2.4,-2.3,札幌
2024年12月6日,金,-1.7,0.9,-4.4,札幌
2024年12月7日,土,-2.5,-0.6,-4.5,札幌
2024年12月8日,日,-1.6,0.6,-3.4,札幌
2024年12月9日,月,0,2,-1.1,札幌
2024年12月10日,火,1.3,3.9,-0.4,札幌
2024年12月11日,水,-1.5,1.4,-4.4,札幌
2024年12月12日,木,-3.6,-0.5,-5,札幌
2024年12月13日,金,-2.8,-1.2,-4.8,札幌
2024年12月14日,土,-3.2,-0.6,-4.6,札幌
2024年12月15日,日,-2.6,0.5,-4.4,札幌
2024年12月16日,月,-4.7,-3.3,-6.6,札幌
2024年12月17日,火,-4.6,-2.7,-8,札幌
2024年12月18日,水,-3.3,-0.7,-6.5,札幌
2024年12月19日,木,-0.6,1.5,-3.1,札幌
2024年12月20日,金,-3.3,-1.5,-6.9,札幌
2024年12月21日,土,-5.2,-2.8,-8.2,札幌
2024年12月22日,日,-3.8,-1.6,-5.6,札幌
2024年12月23日,月,-3.4,0,-7,札幌
2024年12月24日,火,-4.1,-0.5,-8.4,札幌
2024年12月25日,水,-0.2,2.1,-3.5,札幌
2024年12月26日,木,0.2,3.7,-4.4,札幌
2024年12月27日,金,-5,-3.4,-6.5,札幌
2024年12月28日,土,-3.4,0,-6.9,札幌
2024年12月29日,日,-3.4,0,-5.1,札幌
2024年12月30日,月,-3.2,-0.5,-5.6,札幌
2024年12月31日,火,-3.5,-1.4,-5.5,札幌
2025年1月1日,水,-2.4,1.4,-4.6,札幌
2025年1月2日,木,-3.5,-0.1,-6.7,札幌
2025年1月3日,金,-4.7,-1.7,-7.6,札幌
2025年1月4日,土,-4.2,-2,-7.2,札幌
2025年1月5日,日,-3.6,-1.5,-6.4,札幌
2025年1月6日,月,0.2,3.2,-3.4,札幌
2025年1月7日,火,0.4,1.8,-1.3,札幌
2025年1月8日,水,-1.9,0.3,-3.5,札幌
2025年1月9日,木,-2.6,-0.1,-3.8,札幌
2025年1月10日,金,-1.6,1.8,-4.6,札幌
2025年1月11日,土,-1.6,0,-3.6,札幌
2025年1月12日,日,-1.3,1.5,-3.8,札幌
2025年1月13日,月,-1.1,1.7,-3.8,札幌
2025年1月14日,火,-0.1,4.3,-3,札幌
2025年1月15日,水,-4.3,-2.4,-6,札幌
2025年1月16日,木,-4.3,-2.4,-7.1,札幌
2025年1月17日,金,-4.8,-3.2,-5.9,札幌
2025年1月18日,土,-3.9,-0.2,-7,札幌
2025年1月19日,日,-1.6,3.3,-8.5,札幌
2025年1月20日,月,2.6,5.4,0.5,札幌
2025年1月21日,火,-0.4,1.6,-2.5,札幌
2025年1月22日,水,1.3,5.1,-2.3,札幌
2025年1月23日,木,2,4,0.3,札幌
2025年1月24日,金,1.5,2.8,0.5,札幌
2025年1月25日,土,2.3,4.6,0.1,札幌
2025年1月26日,日,0.3,3.6,-2.7,札幌
2025年1月27日,月,-0.3,4,-4.3,札幌
2025年1月28日,火,0.3,3.3,-2.6,札幌
2025年1月29日,水,-0.2,2.1,-2.6,札幌
2025年1月30日,木,-0.4,2.4,-1.7,札幌
2025年1月31日,金,-0.7,1.8,-1.9,札幌
2025年2月1日,土,-1.6,1.3,-4.6,札幌
2025年2月2日,日,-2.4,-0.8,-4.7,札幌
2025年2月3日,月,-3.4,-0.3,-7.6,札幌
2025年2月4日,火,0.8,5,-1.9,札幌
2025年2月5日,水,-0.6,1.8,-2.3,札幌
2025年2月6日,木,-0.1,2.7,-2.5,札幌
2025年2月7日,金,-2.3,0.9,-5.6,札幌
2025年2月8日,土,-2.2,3,-8.2,札幌
2025年2月9日,日,-1.5,0.9,-3.3,札幌
2025年2月10日,月,-1.8,2.1,-4.7,札幌
2025年2月11日,火,-2.4,1.3,-5.9,札幌
2025年2月12日,水,0.4,4.6,-5.9,札幌
2025年2月13日,木,-1.9,0.6,-3.5,札幌
2025年2月14日,金,-1.6,1.6,-3.3,札幌
2025年2月15日,土,-0.3,3.5,-3.6,札幌
2025年2月16日,日,0.9,5.9,-4.5,札幌
2025年2月17日,月,0.8,3.7,-2.3,札幌
2025年2月18日,火,-2.9,-1.3,-4.9,札幌
2025年2月19日,水,-1.8,-0.3,-4.1,札幌
2025年2月20日,木,-2,1.5,-7.2,札幌
2025年2月21日,金,-2.3,0.4,-5.9,札幌
2025年2月22日,土,-2.7,1.2,-7.4,札幌
2025年2月23日,日,-2.5,1.7,-6.7,札幌
2025年2月24日,月,-1.6,2.2,-7,札幌
2025年2月25日,火,2.6,5.5,-2.1,札幌
2025年2月26日,水,1,4.8,-1.5,札幌
2025年2月27日,木,0.2,2.1,-2.5,札幌
2025年2月28日,金,5.9,10.9,-0.7,札幌
2025年3月1日,土,4.7,7.8,-0.1,札幌
2025年3月2日,日,0.4,5,-2.6,札幌
2025年3月3日,月,-4.2,-2,-6.4,札幌
2025年3月4日,火,-2.7,-0.1,-5.1,札幌
2025年3月5日,水,-1.5,1.6,-5.6,札幌
2025年3月6日,木,0.3,2.8,-1.4,札幌
2025年3月7日,金,-0.6,2,-2.9,札幌
2025年3月8日,土,-1.4,2.5,-5.9,札幌
2025年3月9日,日,1,6.2,-2.5,札幌
2025年3月10日,月,2.2,6.1,-2.4,札幌
2025年3月11日,火,5.2,10.2,0.9,札幌
2025年3月12日,水,6.5,11.6,0,札幌
2025年3月13日,木,6.9,10,3.4,札幌
2025年3月14日,金,1.9,3.8,0.3,札幌
2025年3月15日,土,1.2,3.2,-0.3,札幌
2025年3月16日,日,0.5,3.4,-1.8,札幌
2025年3月17日,月,-0.8,0.1,-2.9,札幌
2025年3月18日,火,-1.2,1.6,-5.4,札幌
2025年3月19日,水,-1,3.8,-5.8,札幌
2025年3月20日,木,2.3,5.7,-2.2,札幌
2025年3月21日,金,6,9,3,札幌
2025年3月22日,土,6.5,10.4,1.8,札幌
2025年3月23日,日,3.3,4.3,1.3,札幌
2025年3月24日,月,4.4,9.2,-1.3,札幌
2025年3月25日,火,7.5,11.1,5.9,札幌
2025年3月26日,水,4.8,9.3,1.4,札幌
